"Site ID (new)","Site On-air Date","Design Type","Dismantle Date"
"DHK_M1332_4","39419.0","Micro","40350.0"
"DHK_M1332_5","39419.0","Micro","40618.0"
"DHK_M1349_4","39494.0","Micro","41690.0"
"DHK_M1349_5","39494.0","Micro","41690.0"
"DHK_M1349_6","39494.0","Micro","41690.0"
"DHK_M1352_4","39476.0","Micro","40971.0"
"DHK_M1352_5","39476.0","Micro","40971.0"
"DHK_M1367_4","39595.0","Micro","42215.0"
"DHK_M1367_5","39595.0","Micro","42215.0"
"DHK_M1373_4","39550.0","Micro","40633.0"
"DHK_M1373_5","39550.0","Micro","40633.0"
"DHK_M1375_4","39550.0","Micro","42367.0"
"DHK_M1375_5","39550.0","Micro","42367.0"
"DHK_M1390_4","40070.0","Micro","41651.0"
"DHK_M1390_5","40070.0","Micro","41651.0"
"DHK_M1391_4","40070.0","Micro","41580.0"
"DHK_M1391_5","40070.0","Micro","41580.0"
"DHK_M1392_4","40070.0","Micro","41867.0"
"DHK_M1392_5","40070.0","Micro","41867.0"
"DHK_M1393_4","40265.0","Micro","40913.0"
"DHK_M1393_5","40265.0","Micro","40913.0"
"DHK_M1394_4","40265.0","Micro","40569.0"
"DHK_M1394_5","40265.0","Micro","40569.0"
"DHK_M1395_4","40237.0","Micro","40569.0"
"DHK_M1395_5","40237.0","Micro","40569.0"
"DHK_M1396_4","40086.0","Micro","40913.0"
"DHK_M1396_5","40086.0","Micro","40913.0"
"DHK_M1397_4","40088.0","Micro","40848.0"
"DHK_M1397_5","40088.0","Micro","40848.0"
"DHK_M1398_4","40097.0","Micro","40605.0"
"DHK_M1398_5","40098.0","Micro","40605.0"
"DHK_M1400_4","40086.0","Micro","41867.0"
"DHK_M1400_5","40086.0","Micro","41867.0"
"DHK_M1658_6","39716.0","Micro","40610.0"
"DHK_M1699_4","39711.0","Micro","41102.0"
"DHK_M1842_5","39715.0","Micro","40924.0"
"DHK_M1932_5","39711.0","Micro","40604.0"
"DHK_M2316_4","39599.0","Micro","41876.0"
"DHK_M2316_5","39609.0","Micro","41876.0"
"DHK_M2321_4","39595.0","Micro","41876.0"
"DHK_M2321_5","39595.0","Micro","41876.0"
"DHK_M2324_4","39592.0","Micro","41080.0"
"DHK_M2324_5","39592.0","Micro","41080.0"
"DHK_M2324_6","39592.0","Micro","41080.0"
"DHK_M2325_4","39585.0","Micro","42283.0"
"DHK_M2325_5","39585.0","Micro","42283.0"
"DHK_M2330","","Micro",""
"DHK_M2330","","Micro",""
"DHK_M2347_4","39719.0","Micro","41191.0"
"DHK_M2347_5","39719.0","Micro","41191.0"
"DHK_M2353_4","39686.0","Micro","41599.0"
"DHK_M2353_5","39686.0","Micro","41599.0"
"DHK_M2362_4","39719.0","Micro","41295.0"
"DHK_M2364_4","39867.0","Micro","41886.0"
"DHK_M2364_5","39867.0","Micro","41886.0"
"DHK_M2507_5","39715.0","Micro","40924.0"
"DHK_M3375_1","40178.0","Micro","40973.0"
"DHK_M3375_2","40178.0","Micro","40973.0"
"DHK_M3375_3","40178.0","Micro","40973.0"
"DHK_M3375_4","40178.0","Micro","40973.0"
"DHK_M3375_5","40178.0","Micro","40973.0"
"DHK_M3375_6","40178.0","Micro","40973.0"
"DHK_M3967_4","40726.0","Micro","41877.0"
"DHK_M3968_4","40726.0","Micro","42215.0"
"DHK_M3970_4","40738.0","Micro","42216.0"
"DHK_M3970_5","40738.0","Micro","42216.0"
"DHK_M3971_4","40755.0","Micro","42025.0"
"DHK_M3979_4","40726.0","Micro","41876.0"
"DHK_M3982_4","40755.0","Micro","41876.0"
"DHK_M3984_4","40755.0","Micro","42216.0"
"DHK_M3984_5","40816.0","Micro","42216.0"
"DHK_M3987_4","40748.0","Micro","42215.0"
"DHK_M4519_4","40775.0","Micro","41877.0"
"DHK_M4530_4","40799.0","Micro","41573.0"
"DHK_M4538_4","40810.0","Micro","41875.0"
"DHK_M4539_4","40816.0","Micro","42067.0"
"DHK_M4540_4","40814.0","Micro","41878.0"
"DHK_N007_01","39931.0","Nano","42234.0"
"DHK_N007_02","39931.0","Nano","42234.0"
"DHK_N007_03","39931.0","Nano","42234.0"
"DHK_N007_04","39931.0","Nano","42234.0"
"DHK_N007_05","39931.0","Nano","42234.0"
"DHK_N007_06","39931.0","Nano","42234.0"
"DHK_N007_07","39628.0","Nano","42234.0"
"DHK_N007_08","39628.0","Nano","42234.0"
"DHK_N012_01","39659.0","Nano","42337.0"
"DHK_N012_02","39659.0","Nano","42337.0"
"DHK_N012_03","39659.0","Nano","42337.0"
"DHK_N012_04","39659.0","Nano","42337.0"
"DHK_N012_05","39659.0","Nano","42337.0"
"DHK_N012_07","39659.0","Nano","42337.0"
"DHK_N012_08","39659.0","Nano","42337.0"
"DHK_N012_09","39659.0","Nano","42337.0"
"DHK_N012_10","39659.0","Nano","42337.0"
"DHK_N012_11","39659.0","Nano","42337.0"
"DHK_N013_01","39628.0","Nano","42331.0"
"DHK_N013_02","39628.0","Nano","42331.0"
"DHK_N013_03","39628.0","Nano","42331.0"
"DHK_N013_04","39628.0","Nano","42331.0"
"DHK_N013_05","39628.0","Nano","42331.0"
"DHK_N013_06","39628.0","Nano","42331.0"
"DHK_N013_07","39628.0","Nano","42331.0"
"DHK_N013_08","39628.0","Nano","42331.0"
"DHK_N013_09","39628.0","Nano","42331.0"
"DHK_N016_01","39628.0","Nano","42256.0"
"DHK_N016_02","39629.0","Nano","42256.0"
"DHK_N016_03","39629.0","Nano","42256.0"
"DHK_N016_04","39629.0","Nano","42256.0"
"DHK_N016_05","39629.0","Nano","42256.0"
"DHK_N017_01","39648.0","Nano","42372.0"
"DHK_N017_02","39648.0","Nano","42372.0"
"DHK_N017_03","39648.0","Nano","42372.0"
"DHK_N017_04","39648.0","Nano","42372.0"
"DHK_N017_05","39648.0","Nano","42372.0"
"DHK_N017_06","39648.0","Nano","42372.0"
"DHK_N017_07","39648.0","Nano","42372.0"
"DHK_N018_01","39646.0","Nano","42379.0"
"DHK_N018_03","39648.0","Nano","42379.0"
"DHK_N018_04","39648.0","Nano","42379.0"
"DHK_N018_05","39648.0","Nano","42379.0"
"DHK_N018_06","39649.0","Nano","39485.0"
"DHK_N018_07","39648.0","Nano","42379.0"
"DHK_N019_01","39653.0","Nano","42338.0"
"DHK_N019_02","39657.0","Nano","42338.0"
"DHK_N019_03","39653.0","Nano","42338.0"
"DHK_N019_04","39653.0","Nano","42338.0"
"DHK_N019_05","39653.0","Nano","42338.0"
"DHK_N020_01","39660.0","Nano","40911.0"
"DHK_N020_02","39660.0","Nano","40911.0"
"DHK_N020_03","39660.0","Nano","40911.0"
"DHK_N020_04","39660.0","Nano","40911.0"
"DHK_N021_01","39748.0","Nano","42550.0"
"DHK_N021_02","39748.0","Nano","39828.0"
"DHK_N021_03","39748.0","Nano","42550.0"
"DHK_N021_04","39748.0","Nano","42550.0"
"DHK_N021_05","39748.0","Nano","42550.0"
"DHK_N022_01","39866.0","Nano","42257.0"
"DHK_N022_02","39866.0","Nano","42257.0"
"DHK_N022_04","39883.0","Nano","42257.0"
"DHK_N022_05","39866.0","Nano","42257.0"
"DHK_N022_06","39866.0","Nano","42257.0"
"DHK_N022_07","39866.0","Nano","42257.0"
"DHK_N022_08","39866.0","Nano","42257.0"
"DHK_N022_09","39866.0","Nano","42257.0"
"DHK_N023_01","39833.0","Nano","42339.0"
"DHK_N023_02","39833.0","Nano","42339.0"
"DHK_N023_03","39833.0","Nano","42339.0"
"DHK_N023_04","39833.0","Nano","42339.0"
"DHK_N023_05","39833.0","Nano","42339.0"
"DHK_N023_06","39833.0","Nano","42339.0"
"DHK_N024_01","39928.0","Nano","42358.0"
"DHK_N024_02","39928.0","Nano","42358.0"
"DHK_N024_03","39928.0","Nano","42358.0"
"DHK_N024_04","39928.0","Nano","42358.0"
"DHK_N024_05","39928.0","Nano","42358.0"
"DHK_N024_06","39928.0","Nano","42358.0"
"DHK_N024_07","39928.0","Nano","42358.0"
"DHK_N024_08","39928.0","Nano","42358.0"
"DHK_N024_09","39928.0","Nano","42358.0"
"DHK_N024_10","39928.0","Nano","42358.0"
"DHK_N024_11","39928.0","Nano","42358.0"
"DHK_N024_12","39928.0","Nano","42358.0"
"DHK_N024_13","39928.0","Nano","42358.0"
"DHK_N030_01","39855.0","Nano","42361.0"
"DHK_N030_02","39855.0","Nano","42361.0"
"DHK_N030_03","39855.0","Nano","42361.0"
"DHK_N030_04","39855.0","Nano","39909.0"
"DHK_N030_05","39855.0","Nano","41157.0"
"DHK_N035_01","39813.0","Nano","41466.0"
"DHK_N035_02","39813.0","Nano","41466.0"
"DHK_N035_03","39813.0","Nano","41466.0"
"DHK_N035_04","39813.0","Nano","41466.0"
"DHK_N035_05","39629.0","Nano","41466.0"
"DHK_N037_01","39900.0","Nano","41000.0"
"DHK_N037_02","39900.0","Nano","41000.0"
"DHK_N037_03","39900.0","Nano","41000.0"
"DHK_N037_04","39900.0","Nano","41000.0"
"DHK_N037_05","39900.0","Nano","41000.0"
"DHK_N040_01","39870.0","Nano","40265.0"
"DHK_N040_02","39870.0","Nano","40265.0"
"DHK_N041_01","39628.0","Nano","42541.0"
"DHK_N041_02","40178.0","Nano","40753.0"
"DHK_N044_01","40148.0","Nano","40692.0"
"DHK_N044_02","40148.0","Nano","40692.0"
"DHK_N044_03","40148.0","Nano","40692.0"
"DHK_N044_04","40148.0","Nano","40692.0"
"DHK_N044_05","40148.0","Nano","40692.0"
"DHK_N044_06","40148.0","Nano","40692.0"
"DHK_N044_07","40148.0","Nano","40692.0"
"DHK_N044_08","40148.0","Nano","40692.0"
"DHK_N045_01","40176.0","Nano","40642.0"
"DHK_N058_01","40244.0","Nano","41875.0"
"DHK_N058_02","40244.0","Nano","41875.0"
"DHK_N058_03","40244.0","Nano","41875.0"
"DHK_N058_04","40244.0","Nano","41875.0"
"DHK_N058_05","39629.0","Nano","41875.0"
"DHK_N058_06","39659.0","Nano","41875.0"
"DHK_N062_01","40267.0","Nano","42270.0"
"DHK_N062_02","40267.0","Nano","42270.0"
"DHK_N062_03","40267.0","Nano","42270.0"
"DHK_N062_04","40267.0","Nano","42270.0"
"DHK_N062_05","40267.0","Nano","42270.0"
"DHK_N062_06","40267.0","Nano","42270.0"
"DHK_N063_01","40294.0","Nano","42375.0"
"DHK_N063_02","40294.0","Nano","42375.0"
"DHK_N064_01","40268.0","Nano","42256.0"
"DHK_N064_02","40268.0","Nano","42256.0"
"DHK_N066_01","40286.0","Nano","41652.0"
"DHK_N066_02","40286.0","Nano","41652.0"
"DHK_N066_03","40286.0","Nano","41652.0"
"DHK_N069_01","40297.0","Nano","42337.0"
"DHK_N069_02","40297.0","Nano","42337.0"
"DHK_N069_03","40297.0","Nano","42337.0"
"DHK_N069_04","40297.0","Nano","42337.0"
"DHK_N070_01","40297.0","Nano","42215.0"
"DHK_N070_02","40297.0","Nano","40618.0"
"DHK_N070_03","40297.0","Nano","42215.0"
"DHK_N070_04","40297.0","Nano","42215.0"
"DHK_N070_05","40297.0","Nano","42215.0"
"DHK_N070_06","40297.0","Nano","42215.0"
"DHK_N070_07","40297.0","Nano","42215.0"
"DHK_N070_08","40297.0","Nano","42215.0"
"DHK_N070_09","40297.0","Nano","42215.0"
"DHK_N070_10","40297.0","Nano","42215.0"
"DHK_N070_11","40297.0","Nano","42215.0"
"DHK_N071_01","40321.0","Nano","41092.0"
"DHK_N071_02","40321.0","Nano","41092.0"
"DHK_N071_03","40451.0","Nano","41113.0"
"DHK_N071_04","40451.0","Nano","41113.0"
"DHK_N071_05","40451.0","Nano","41113.0"
"DHK_N071_06","40451.0","Nano","41094.0"
"DHK_N072_01","40324.0","Nano","42551.0"
"DHK_N072_02","40324.0","Nano","42551.0"
"DHK_N072_03","40324.0","Nano","42551.0"
"DHK_N072_04","40324.0","Nano","42551.0"
"DHK_N072_05","40324.0","Nano","42551.0"
"DHK_N073_01","40325.0","Nano","42265.0"
"DHK_N073_02","40325.0","Nano","42265.0"
"DHK_N073_03","40325.0","Nano","42265.0"
"DHK_N073_04","40325.0","Nano","42265.0"
"DHK_N073_05","40325.0","Nano","42265.0"
"DHK_N073_06","40325.0","Nano","42265.0"
"DHK_N073_07","40325.0","Nano","42265.0"
"DHK_N074_01","40342.0","Nano","42284.0"
"DHK_N074_02","40342.0","Nano","42284.0"
"DHK_N074_03","40342.0","Nano","42284.0"
"DHK_N074_04","40342.0","Nano","42284.0"
"DHK_N074_05","40342.0","Nano","42284.0"
"DHK_N074_06","40342.0","Nano","42284.0"
"DHK_N074_07","40342.0","Nano","42284.0"
"DHK_N074_08","40342.0","Nano","42284.0"
"DHK_N074_09","40342.0","Nano","42284.0"
"DHK_N074_10","40342.0","Nano","42284.0"
"DHK_N078_01","40395.0","Nano","41273.0"
"DHK_N081_01","40493.0","Nano","42373.0"
"DHK_N081_02","40493.0","Nano","42373.0"
"DHK_N081_03","40505.0","Nano","42373.0"
"DHK_N081_04","40505.0","Nano","42373.0"
"DHK_N081_05","39626.0","Nano","42373.0"
"DHK_N081_06","39629.0","Nano","42373.0"
"DHK_N081_07","39646.0","Nano","42373.0"
"DHK_N083_01","40542.0","Nano","42346.0"
"DHK_N083_02","40542.0","Nano","42346.0"
"DHK_N083_03","40542.0","Nano","42346.0"
"DHK_N083_04","40542.0","Nano","42346.0"
"DHK_N083_05","40542.0","Nano","42346.0"
"DHK_N087_01","39626.0","Nano","41730.0"
"DHK_N088_01","39626.0","Nano","42257.0"
"DHK_N088_02","39626.0","Nano","42257.0"
"DHK_N092_01","39626.0","Nano","42276.0"
"DHK_N092_02","39626.0","Nano","42276.0"
"DHK_N092_03","39626.0","Nano","42276.0"
"DHK_N094_01","39629.0","Nano","41545.0"
"DHK_T0587_4","38701.0","Micro","39903.0"
"DHK_X0046","38380.0","RT","40541.0"
"DHK_X0115","39424.0","RT","39184.0"
"DHK_X0129","","",""
"DHK_X0147","","",""
"DHK_X0151","38380.0","RT","40531.0"
"DHK_X0163","38693.0","GF","40535.0"
"DHK_X0330","38687.0","RT","40009.0"
"DHK_X0363","38693.0","RT","39184.0"
"DHK_X0374","39208.0","RT","39678.0"
"DHK_X0395","39312.0","",""
"DHK_X0435","38611.0","RT","39184.0"
"DHK_X1158","39165.0","RT","40570.0"
"DHK_X1159","","",""
